[0000]  WARN no explicit name and version provided for directory source, deriving artifact ID from the given path (which is not ideal)
windows_x86_64_gnullvm                0.53.0                         rust-crate                      
windows_x86_64_msvc                   0.52.6                         rust-crate                      
windows_x86_64_msvc                   0.53.0                         rust-crate                      
winnow                                0.7.13                         rust-crate                      
wit-bindgen                           0.46.0                         rust-crate                      
writeable                             0.6.1                          rust-crate                      
wyz                                   0.5.1                          rust-crate                      
x25519-dalek                          2.0.1                          rust-crate                      
xattr                                 1.6.1                          rust-crate                      
xz                                    0.1.0                          rust-crate                      
xz2                                   0.1.7                          rust-crate                      
yoke                                  0.8.0                          rust-crate                      
yoke-derive                           0.8.0                          rust-crate                      
zerocopy                              0.8.27                         rust-crate                      
zerocopy-derive                       0.8.27                         rust-crate                      
zerofrom                              0.1.6                          rust-crate                      
zerofrom-derive                       0.1.6                          rust-crate                      
zeroize                               1.8.2                          rust-crate                      
zeroize_derive                        1.4.2                          rust-crate                      
zerotrie                              0.2.2                          rust-crate                      
zerovec                               0.11.4                         rust-crate                      
zerovec-derive                        0.11.1                         rust-crate                      
zlib-rs                               0.5.2                          rust-crate
